Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
Standard Chartered,sc.com,2,0,2,"India: 1, United Kingdom: 1"
Grant Thornton Bharat LLP,grantthornton.in,2,0,2,India: 2
CMA CGM,cma-cgm.com,2,0,2,France: 2
Mercedes-Benz Research and Development India,mbrdi.co.in,2,0,2,India: 2
Confidentiel,confidentiel.com,2,0,2,"Pakistan: 1, Morocco: 1"
Putra Perkasa Abadi,ppa.co.id,2,0,2,Indonesia: 2
Ministère des Affaires étrangères français,diplomatie.gouv.fr,2,0,2,France: 2
LinkedIn Local Morocco,linkedinlocal.ma,2,0,2,"Morocco: 1, Casablanca Metropolitan Area: 1"
University of Exeter Business School,exeter.ac.uk,2,0,2,United Kingdom: 2
PwC UK,pwcukcareers.com,2,0,2,United Kingdom: 2
Vale,vale.com,2,0,2,Brazil: 2
PW (PhysicsWallah),pw.live,2,0,2,India: 2
Qualcomm,qualcomm.com,2,0,2,India: 2
SLMG Beverages Pvt Ltd,slmgbeverages.com,2,0,2,India: 2
Inteliqo,inteliqo.pk,2,0,2,United Kingdom: 2
360 Agency Middle East - Hospitality Recruitment Services,360agency.me,2,0,2,"دبي الإمارات العربية المتحدة: 1, United Arab Emirates: 1"
30X,30x.com,2,0,2,Mexico: 2
University of Oxford,ox.ac.uk,2,0,2,"United Kingdom: 1, Greater Boston: 1"
Tamara,tamara.com,2,0,2,United Arab Emirates: 2
Systems Limited,systemsltd.com,2,0,2,Pakistan: 2
American Hospital Dubai,ahdubai.com,2,0,2,United Arab Emirates: 2
Jea,jeadesign.com,2,0,2,"United Arab Emirates: 1, دبي الإمارات العربية المتحدة: 1"
People Perfect,peopleperfect.com,2,0,2,Pakistan: 2
Creativize.ai,seedily.ai,2,0,2,United Kingdom: 2
Ministry of Planning and Economic Development - Egypt,mped.gov.eg,2,0,2,"Egypt: 1, القاهرة مصر: 1"
Aalto University,aalto.fi,2,0,2,Finland: 2
BNP Paribas,bnpp.lk,2,0,2,"India: 1, France: 1"
Alkem Laboratories Ltd.,alkemlabs.com,2,0,2,India: 2
Isha Foundation,sadhguru.org,1,0,1,India: 1
The Field,fieldstates.com,1,0,1,United Kingdom: 1
AngelSpark,angelspark.net,1,0,1,United Arab Emirates: 1
ProcDNA,procdna.com,1,0,1,India: 1
Abril,grupoabril.com.br,1,0,1,Brazil: 1
Nutribras Alimentos,nutribrasalimentos.com.br,1,0,1,Brazil: 1
Milan Jovanovic Tech,milanjovanovic.tech,1,0,1,Serbia: 1
Zeta Yarwood Coaching,zetayarwood.com,1,0,1,United Arab Emirates: 1
MonshaatSA,monshaat.gov.sa,1,0,1,Saudi Arabia: 1
Connecting the Dots in FinTech - Funding & M&A,connectingthedotsinfin.tech,1,0,1,Netherlands: 1
Association Française des Conférenciers Professionnels,lesconferenciersprofessionnels.com,1,0,1,France: 1
L&T-SuFin,lntsufin.com,1,0,1,India: 1
Stablerail,stablerail.com,1,0,1,United Arab Emirates: 1
LearnYard Technologies FZ-LLC,learnyard.com,1,0,1,United Arab Emirates: 1
RAT Academy,rat.com.br,1,0,1,Brazil: 1
Braze,braze.com,1,0,1,Singapore: 1
Think Eva,thinkeva.com.br,1,0,1,Brazil: 1
ELARABY Group,elarabygroup.com,1,0,1,Egypt: 1
Cracks Media,cracks.la,1,0,1,Mexico: 1
Apollo Hospitals,apollohospitals.com,1,0,1,India: 1
Stealth,timelyai.com,2,1,1,India: 1
Prosus,prosus.com,1,0,1,Netherlands: 1
AIM WA,aimwa.com,1,0,1,Singapore: 1
Wealthix Advisors,wealthixadvisors.com,1,0,1,United Arab Emirates: 1
Airbnb,airbnb.com,4,3,1,Brazil: 1
Life is Good,lifeisgood.com,1,0,1,India: 1
University of Adelaide,adelaide.edu.au,1,0,1,Australia: 1
Tricentis,tricentis.com,1,0,1,Czechia: 1
Skills Bridge,skillsbridge.vn,1,0,1,Vietnam: 1
ZapSight,zapsight.com,1,0,1,India: 1
Aditya Birla Education Trust,abet.co.in,1,0,1,India: 1
Aslant Legal,aslantlegal.com,1,0,1,Singapore: 1
MyRobin.ID,myrobin.id,1,0,1,Indonesia: 1
Insemi Technology Services Pvt. Ltd.,insemitech.com,1,0,1,India: 1
Banco Pichincha,pichincha.com,1,0,1,Ecuador: 1
OWL | Brand Management ,owl-k.com,1,0,1,Egypt: 1
AMT Global Solutions,rahattravels.com,1,0,1,India: 1
The Money Hans,themoneyhans.com,1,0,1,India: 1
Creative Capital,creativecapitalpartners.co.uk,1,0,1,United Kingdom: 1
Sky TG24,skytg24.it,1,0,1,Italy: 1
Mehan.ai,mehan.ai,1,0,1,Jordan: 1
BTG Pactual,btgpactual.com,1,0,1,Brazil: 1
BEEAH Group,beeahgroup.com,1,0,1,United Arab Emirates: 1
Ingenia Global Partners,ingeniagp.com,1,0,1,United Kingdom: 1
ZW HR Consulting,zwhrconsulting.com,1,0,1,China: 1
HSG,hsgcap.com,1,0,1,Hong Kong SAR: 1
Fortune China,fortunechinesephilly.com,1,0,1,China: 1
FLIGHTSTORY,flightstory.com,1,0,1,United Kingdom: 1
Ricam Consultoria Empresarial,ricamconsultoria.com.br,1,0,1,Brazil: 1
Li-Ning (China) Sports Goods Co. Ltd,lining.com,1,0,1,China: 1
ZhenFund 真格基金,zhenfund.com,1,0,1,中国 北京市 朝阳区: 1
OFF/BEAT,theoffbeatstudios.com,1,0,1,India: 1
Présidence de la République,elysee.fr,1,0,1,France: 1
TechMoat Consulting,ceibs.edu,1,0,1,China: 1
Grupo PRIMO,grupo-primo.com,1,0,1,Brazil: 1
ProHygiene,prohygiene.com,1,0,1,Ecuador: 1
L Catterton,lcatterton.com,1,0,1,India: 1
NP Digital,npdigital.com,2,1,1,India: 1
Actor,purplepebblepictures.com,1,0,1,India: 1
Activator HQ,activatorhq.com,1,0,1,Nigeria: 1
Magalu,magazineluiza.com.br,1,0,1,Brazil: 1
TMTPOST,chaindd.com,1,0,1,China: 1
Kuda,kuda.com,1,0,1,Nigeria: 1
TransformHealth,transform.health,1,0,1,Netherlands: 1
Humans of Bombay,humansofbombay.in,1,0,1,India: 1
Rachana Ranade and Associates,rachanaranade.com,1,0,1,India: 1
Zinnov,zinnov.com,1,0,1,India: 1
AMD,amd.com,2,1,1,Singapore: 1
"Eliete Oliveira - Mentoria em Recolocação, Transição e Desenvolvimento de carreira",elieteoliveira.com,1,0,1,Brazil: 1
Paulo Silvestre Consultoria,paulosilvestre.com.br,1,0,1,Brazil: 1
Prezensa People Tech,prezensa.com,1,0,1,Brazil: 1
