name,domain,country,city,industry,estimated_num_employees,linkedin_url,keywords
Influanza GmbH,influanza.com,Germany,Berlin,,,http://www.linkedin.com/company/influanza,
Webcafe,webcafe.bg,Germany,Bautzen,,,http://www.linkedin.com/company/webcafebg,
Cherry Pick,cherry-pick.io,France,Paris,,,http://www.linkedin.com/company/cherry-pick-freelances,
Dataventure | EDG Group,dataventure.com,France,Boulogne-Billancourt,,,http://www.linkedin.com/company/dataventure-group,
UNFOLD,unfold.com,France,Paris,,,http://www.linkedin.com/company/unfold-production,
Dire,dire.agency,France,Paris,,,http://www.linkedin.com/company/dire-agency,
Amnet Group,amnetgroup.com,France,Paris,,,http://www.linkedin.com/company/amnetgroup,
CARBURANT,carburant.fr,France,Paris,,,http://www.linkedin.com/company/carburant,
Roxane,roxane.community,France,Paris,,,http://www.linkedin.com/company/roxane-community,
Bull,bull.com,France,Les Clayes-sous-Bois,,,http://www.linkedin.com/company/bull,
UPDATED,weareupdated.com,France,,,,http://www.linkedin.com/company/weareupdated,
Dataxis,dataxis.com,France,Paris,,,http://www.linkedin.com/company/dataxis,
TRENDZ,trendzagency.fr,France,Lyon,,,http://www.linkedin.com/company/trendztheagency,
Lookoom,lookoom.co,France,Paris,,,http://www.linkedin.com/company/lookoom,
Cine Society,cinesociety.fr,France,Paris,,,http://www.linkedin.com/company/cinesociety,
Le café de l'influence,cafedelinfluence.com,France,Paris,,,http://www.linkedin.com/company/le-cafe-virtuel-influence,
SoCheers,socheers.net,India,Mumbai,,,http://www.linkedin.com/company/socheers,
ABC Media Company,abcmediacompany.com,India,Mumbai,,,http://www.linkedin.com/company/abccdrgrr23fverg3b,
FCB Ulka,fcbulka.com,India,Mumbai,,,http://www.linkedin.com/company/fcb-ulka,
MindInventory,mindinventory.com,India,Ahmedabad,,,http://www.linkedin.com/company/mindinventory,
Innefu Labs,innefu.com,India,New Delhi,,,http://www.linkedin.com/company/innefulabs,
Affise,bobble.ai,India,Gurugram,,,http://www.linkedin.com/company/bobble-app,
Hansa Cequity,hansacequity.com,India,Mumbai,,,http://www.linkedin.com/company/hansacustomerequity,
Trailytics AI,trailytics.com,India,Gurugram,,,http://www.linkedin.com/company/trailytics,
Fables,fables.in,India,Gurugram,,,http://www.linkedin.com/company/fables,
Chatterbox Communication,chatterboxcommunication.in,India,New Delhi,,,http://www.linkedin.com/company/chatterbox-communication,
TransOrg Analytics,transorg.ai,India,Gurugram,,,http://www.linkedin.com/company/transorg-solutions-&-services,
Redwood Algorithms,redwoodalgorithms.com,India,Bengaluru,,,http://www.linkedin.com/company/redwood-algorithms,
Acture Media,acturemedia.com,India,Mumbai,,,http://www.linkedin.com/company/acturemedia,
Sociall.in,sociall.in,India,Chennai,,,http://www.linkedin.com/company/sociall-in,
Prose Integrated,proseintegrated.com,India,Mumbai,,,http://www.linkedin.com/company/proseintegrated,
QWERTY BRAND SOLUTIONS,qwertybrandsolutions.com,India,Gurugram,,,http://www.linkedin.com/company/qwerty-brand-solutions,
Think Tree Media House,thinktreemedia.in,India,Bengaluru,,,http://www.linkedin.com/company/think-tree-media-house,
Technologia,technologiaworld.com,India,Bengaluru,,,http://www.linkedin.com/company/technologia,
The Hustler Collective,thehustlercollective.com,India,New Delhi,,,http://www.linkedin.com/company/thehustlercollective,
Gemius Studios,gemius.co,India,Surat,,,http://www.linkedin.com/company/gemiusindia,
Urja Communications Pvt. Ltd.,urja.com,India,Mumbai,,,http://www.linkedin.com/company/urja-stretchinggoats,
Macaw Digital,macawdigital.in,India,Hyderabad,,,http://www.linkedin.com/company/macawdigi,
SocialChaat,socialchaat.com,India,Panchkula,,,http://www.linkedin.com/company/socialchaat,
Webfries,webfries.com,India,Gurugram,,,http://www.linkedin.com/company/webfries,
Cha-Chi,cha-chi.in,India,Gurugram,,,http://www.linkedin.com/company/cha-chi,
Fourart,fourartdesigns.com,India,Ernakulam,,,http://www.linkedin.com/company/fourart,
BCCI,bcci.tv,India,Mumbai,,,http://www.linkedin.com/company/dawnraid3,
Being Addictive,beingaddictive.com,India,Pune,,,http://www.linkedin.com/company/being-addictive,
Sked Social,skedsocial.com,Australia,Melbourne,,,http://www.linkedin.com/company/getskedsocial,
Sentient,sentient.com,Australia,Melbourne,,,http://www.linkedin.com/company/sentientagency,
Windsorborn,windsorborn.com,Australia,Sydney,,,http://www.linkedin.com/company/windsorborn-design-studio,
Kitly Business,kitlybusiness.co,Australia,Haymarket,,,http://www.linkedin.com/company/kitlybusiness,
Ivy Social,ivysocial.com.au,Australia,Canberra,,,http://www.linkedin.com/company/ivy-social,
Distil,distilagency.com,Australia,Sydney,,,http://www.linkedin.com/company/distilagency,
Aptus Business Solutions Pty Ltd,aptusbusiness.com.au,Australia,Adelaide,,,http://www.linkedin.com/company/aptus-business-solutions-pty-ltd,
Thinkfield,thinkfield.com.au,Australia,Leederville,,,http://www.linkedin.com/company/thinkfield,
Clive Media Group Ltd,clivemedia.com.au,Australia,Melbourne,,,http://www.linkedin.com/company/clive-media-group,
Red Points,redpoints.com,Spain,Barcelona,,,http://www.linkedin.com/company/redpoints,
RavenPack,ravenpack.com,Spain,Marbella,,,http://www.linkedin.com/company/ravenpack,
This is Odd,thisisodd.es,Spain,Barcelona,,,http://www.linkedin.com/company/thisisodd,
Finect,finect.com,Spain,Madrid,,,http://www.linkedin.com/company/finect,
magnettu,magnettu.com,Spain,Barcelona,,,http://www.linkedin.com/company/magnettu,
Besocy,besocy.com,Spain,Madrid,,,http://www.linkedin.com/company/besocy-com,
Equipo RS,biolink777.com,Spain,Sabadell,,,http://www.linkedin.com/company/tuoficinaencasa,
aló,teamalo.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/theteamalo,
Netizency,netizency.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/netizency,
Diginet Global,diginet.media,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/diginetglobal,
Kedoo Entertainment,kedoo.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/kedoo-entertainment,
Cicero & Bernay,ciceroandbernay.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/ciceroandbernay,
Studia 54,studia-54.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/studia-54,
Realist Media,realistmedia.com,United Arab Emirates,Sharjah,,,http://www.linkedin.com/company/irealistmedia,
Digital Links,digitallinkspro.com,United Arab Emirates,Abu Dhabi,,,http://www.linkedin.com/company/digital-linkspro,
Reactive Space,reactivespace.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/reactivespace,
Wide Lens Marketing,widelens.info,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/wide-lens,
Angry.Space,angry.space,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/angryspace,
AVELA Media,avela.media,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/avela-media,
منحنى | Monhna,monhna.com,Saudi Arabia,Mecca,,,http://www.linkedin.com/company/monhnacom,
tact Digital Communication,tact.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/tact-digital-communication,
Merkai | ميركاي,merkai.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/merakiadv,
Osolutions,osolutions.digital,Saudi Arabia,Jeddah,,,http://www.linkedin.com/company/osolutions-digital,
Mubasher.Info معلومات مباشر,mubasher.info,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/mubasher-info,
Shahry,crowdanalyzer.com,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/crowdanalyzer,
سمارت كود Smart Code,smartcode.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/smart-code,
Seven Dimensions,7di.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/7di-co,
Bayan (Data science & Artificial intelligence),bayandata.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/bayandata,
Muhimma Digital Platform Co.,muhimmaapp.com,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/muhimmaapp,
جمعية اكتفاء لتمكين الأسر,ektfa.org.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/%d8%ac%d9%85%d8%b9%d9%8a%d8%a9-%d8%a7%d9%83%d8%aa%d9%81%d8%a7%d8%a1-%d9%84%d8%aa%d9%85%d9%83%d9%8a%d9%86-%d8%a7%d9%84%d8%a3%d8%b3%d8%b1,
التنمية المتكاملة للتعليم والتدريب ||  Integrated Development For Education and Training,altanmiyah.edu.sa,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/altanmiyah-sa,
Marketly ماركتلي,marketlysa.com,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/marketly-solution,
Social Nuts,social-nuts.com,Egypt,Cairo,,,http://www.linkedin.com/company/social-nuts-digital-marketing,
KAIRO,kairo.me,Egypt,,,,http://www.linkedin.com/company/kairo,
Innovation Technology,innvtech.com,Egypt,,,,http://www.linkedin.com/company/innovationtechh,
Adham Hossam,adhamhossam.com,Egypt,Cairo,,,http://www.linkedin.com/company/adham-hossam,
TheBAKERS,thebakers.world,Egypt,,,,http://www.linkedin.com/company/thebakersworldz,
Sircles Digital Marketing Agency,getsircles.com,Egypt,New Cairo City,,,http://www.linkedin.com/company/getsircles,
nichebell,nichebell.com,Egypt,Sheikh Zayed City,,,http://www.linkedin.com/company/nichebell,
7P Marketing & Software,aisevenp.com,Egypt,,,,http://www.linkedin.com/company/7p-marketing-software,
Creative Agency,creative.com.eg,Egypt,,,,http://www.linkedin.com/company/creative-agency,
Tech Village for Marketing Solutions,techvillageco.com,Egypt,New Cairo City,,,http://www.linkedin.com/company/techvillageegypt,
Trickaa Marketing Agency,trickaa.com,Egypt,,,,http://www.linkedin.com/company/trickaaeg,
WeLog Social,welogsocial.com,Turkey,Istanbul,,,http://www.linkedin.com/company/welogagency,
Muse İstanbul,muse.istanbul,Turkey,Istanbul,,,http://www.linkedin.com/company/museistanbul,
Hoops,hoops.com.tr,Turkey,Istanbul,,,http://www.linkedin.com/company/hoopstheagency,
Altavia Dekatlon,altavia-dekatlon.com,Turkey,Istanbul,,,http://www.linkedin.com/company/altaviadekatlon,
BuKafa Medya,bukafamedya.com,Turkey,Istanbul,,,http://www.linkedin.com/company/bukafa-medya,
gricreative,gricreative.com,Turkey,Istanbul,,,http://www.linkedin.com/company/gri-creative,
BUZZ,buzz.work,Turkey,,,,http://www.linkedin.com/company/buzz-2.0-digital-pr-and-advisory,
Digital Age,digitalage.com.tr,Turkey,Istanbul,,,http://www.linkedin.com/company/digital-age-dergisi,
Trendx,trendx.media,Turkey,Antakya,,,http://www.linkedin.com/company/trendxco,
Soyka Agency,soyka-agency.com,Turkey,Istanbul,,,http://www.linkedin.com/company/soyka-agency,
Imprint,cycurity-imprint.com,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/imprint-social,
Yozmot Atid יוזמות עתיד,yozmotatid.org.il,Israel,Rehovot,,,http://www.linkedin.com/company/yozmotatid-%d7%99%d7%95%d7%96%d7%9e%d7%95%d7%aa-%d7%a2%d7%aa%d7%99%d7%93,
Gad Dairy,gad-dairy.co.il,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/gad-dairy,
Peer Levin Communications,plpr.co.il,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/peerlevin,
SHOUT.GROUP,shout.market,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/shoutgroup,
LOTAN,lotan-pr.com,Israel,,,,http://www.linkedin.com/company/lotanbprd,
Yedidim 1230,yedidim-il.org,Israel,Giv'at Shmuel,,,http://www.linkedin.com/company/yedidim-road-side-services,
Sunflowers - חמניות,hamaniot.org,Israel,Tel Aviv-Yafo,,,http://www.linkedin.com/company/sunflowers-npo,
AKM,akm.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/akmagencia,
Mutato,muta.to,Brazil,Sao Paulo,,,http://www.linkedin.com/company/mutato,
Performa Web: Agência de Marketing Digital,performaweb.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/performa-web,
DZ Estúdio,dzestudio.com.br,Brazil,Porto Alegre,,,http://www.linkedin.com/company/dzestudio,
Koko Agency,agenciakoko.com.br,Brazil,Rio de Janeiro,,,http://www.linkedin.com/company/agenciakoko,
TM Comunicações,tmcomunicacoes.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/tm-comunica%c3%a7%c3%b5es,
Elife,elife.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/elifegroup,
Inbazz,inbazz.com.br,Brazil,Vitoria,,,http://www.linkedin.com/company/inbazz,
Multisolution,multisolution.art.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/ag%c3%aancia-multisolution,
Wings Agência,wingsagencia.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/agenciawings,
Conjunto Comunicação,conjunto.com.br,Brazil,Porto Alegre,,,http://www.linkedin.com/company/conjunto-comunica%c3%a7%c3%a3o,
Gruv,gruv.com.br,Brazil,Brasilia,,,http://www.linkedin.com/company/gruv,
v-tracker,vtracker.com.br,Brazil,Sao Paulo,,,http://www.linkedin.com/company/v-tracker,
Manda Publi Consultoria,mandapubli.com,Brazil,Rio de Janeiro,,,http://www.linkedin.com/company/consultoria-natasha-rattacasso,
Sala 10 Comunicação,saladez.com.br,Brazil,Joao Pessoa,,,http://www.linkedin.com/company/sala-10-comunicacao,
FTW Co.,ftwcomunicacao.com.br,Brazil,,,,http://www.linkedin.com/company/ftw-comunicacao,
FCB Newlink,fcbnewlink.com,Mexico,Mexico City,,,http://www.linkedin.com/company/fcbnlk,
Wivboost,wivboost.com,Mexico,Mexico City,,,http://www.linkedin.com/company/wivboost,
Lievant,lievant.com,Mexico,Leon,,,http://www.linkedin.com/company/lievant,
SWARM RESEARCH,swarmresearch.com,Mexico,Mexico City,,,http://www.linkedin.com/company/swarmdataandpeople,
COMA,comaproductora.com,Mexico,Mexico City,,,http://www.linkedin.com/company/coma-productora,
BBDO México,bbdomexico.com,Mexico,,,,http://www.linkedin.com/company/bbdomx,
alterpraxis,alterpraxis.com,Mexico,Mexico City,,,http://www.linkedin.com/company/alterpraxis,
Social Trending,socialtrending.mx,Mexico,Monterrey,,,http://www.linkedin.com/company/escrito,
Estel,estelcommunications.com,Mexico,Mexico City,,,http://www.linkedin.com/company/estelcommunications,
Digital Venture,digitalventure.mx,Mexico,Mexico City,,,http://www.linkedin.com/company/digitalventuremx,
Partners Digital,partnersdigital.com.co,Colombia,Bogota,,,http://www.linkedin.com/company/partners-digital-1,
H2A GROUP,h2a.com.co,Colombia,Medellin,,,http://www.linkedin.com/company/h2a-brand-solutions,
BASICA S.A.S,basica.us,Colombia,Medellin,,,http://www.linkedin.com/company/basica-s-a-s,
FRST,fcbfrst.com,Colombia,Bogota,,,http://www.linkedin.com/company/fcbfrst,
Nativo Digital Agencia,nativodigitalagencia.com,Colombia,Manizales,,,http://www.linkedin.com/company/nativo-digital-agencia,
Media Lab Agency 🚀,medialab.agency,Argentina,Buenos Aires,,,http://www.linkedin.com/company/medialab-agency,
Wise CX,wisecx.com,Argentina,Cordoba,,,http://www.linkedin.com/company/wise-cx,
Mobile First,hellomobilefirst.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/mobile-firstt,
Infobae,infobae.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/infobae,
Socialité,socialitelatam.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/socialite-press-&-pr,
Prosumia,prosumia.la,Argentina,Olivos,,,http://www.linkedin.com/company/prosumia,
Unicornio Agencia,unicornioagencia.com,Argentina,Buenos Aires,,,http://www.linkedin.com/company/agustina-bassi-pr,
